user_chest,prod_m_chest,prod_l_chest,optimal_size
41.4901424590337,37.576240317977295,41.32150526951278,L
39.58520709648645,37.54658589161615,41.69450053694635,M
41.94306561430208,36.204356827369985,41.40261893895486,L
44.569089569224076,37.66990980829856,42.11041804694612,L
39.29753987582999,38.73282908182175,43.197178531461915,M
39.297589129152456,36.72576788092321,41.2289578428588,L
44.737638446522176,39.04848265105059,43.000820497768416,L
42.302304187458724,38.48777482108434,41.218327927653114,L
38.591576842195146,37.26576667802896,41.15237278750312,M
41.627680130757895,37.85847036266215,42.81859461834321,L
38.60974692156261,39.598321807641035,42.921936378007615,M
38.60281073928923,38.733547813505865,42.85140993676266,M
40.7258868146981,38.008783654898146,40.68420259178186,L
34.260159266026605,37.76231668303902,41.53404902192795,M
34.8252465024609,38.07660907045166,42.82298859200332,M
38.31313741227708,37.4882364420577,42.041541840563895,M
36.96150663899673,35.89525049428099,40.92630715380253,M
40.942741997785824,40.04217791053473,42.45831793912544,M
37.275927773436365,38.1553249991994,41.28519274100853,M
35.76308889599412,38.39814726512254,43.794524848392214,M
44.39694630676466,37.94209225012309,43.54484146241826,L
39.32267109854039,37.26488319927541,42.604097426355565,M
40.202584614063774,37.81407551905123,43.36100670476977,M
35.72575544135963,36.40060523780569,42.06479135012338,M
38.36685182642445,40.27708649805331,42.765437494375014,M
40.332767769129596,36.7654880015776,43.47772029530208,L
36.54701926773309,36.96803371615282,42.24549868179431,M
41.12709405503701,37.5597407956136,41.74481282848571,L
38.198083930243584,39.288075724852376,40.295378041822886,M
39.12491875062017,38.01450899926265,41.91686647427851,M
38.19488016331181,36.76386420396954,42.82342318456231,M
45.55683455352681,39.25433836075734,42.94563342756763,L
39.959508325786196,38.73100062678548,42.50436506571841,M
36.826867213132296,38.53843495721645,41.45870090503776,M
42.46763473630957,38.71573424117084,40.02317843105241,L
36.33746905008693,40.39436190058245,41.504784901995265,M
40.626590785014265,40.185094895036116,41.69565512894605,M
34.120989628360675,37.31328465699671,41.68707103280999,M
36.01544185330471,39.62388499281115,42.618556356977926,M
40.59058370760737,38.3831681897589,43.985676411014836,M
42.21539973998623,38.499095816137746,42.123529201841095,L
40.51410484356991,36.30772916835667,41.78326821084354,L
39.65305515283528,37.8296142346118,41.74077818699591,M
39.096688913232136,37.18717640966344,42.12438476690772,M
35.56443402889772,38.82805881489331,41.1717062396516,M
37.84046737481587,39.07108050040281,42.120198558746054,M
38.61808368712064,35.92551364898369,42.4508123363318,M
43.171366678656746,37.97796513599573,42.20968606357449,L
41.03085486870538,39.12186150479425,42.45754193400478,L
34.7108795339118,37.813321037686556,42.433747609348536,M
40.97225190818438,38.72906364500236,40.22810331775356,L
38.84475315875105,38.351165467627084,42.6368701583954,M
37.96923399908212,38.34166023195262,41.328985154337545,M
41.835028866522606,37.7286850219317,40.90416083699604,L
43.092998567487854,36.78341919586429,40.895548172145006,L
42.79384035734859,36.87846985257497,42.43354161047253,L
37.482347430332084,38.70935251445532,41.777425072775145,M
39.072362872446355,38.019458255518884,40.31803121601459,M
40.99379029421069,37.86148775539277,42.47803781519228,L
42.92663538136708,37.576109957677645,40.560391869201176,L
38.56247728646413,37.69481115451925,42.13982135851821,M
39.44302307000855,39.04691179448814,42.238498925673056,M
36.68099507798192,37.66475591813197,42.88557708169505,M
36.41138012775799,36.65893528669843,43.781684786466855,M
42.43757746718259,38.74365177554017,40.63532367409946,L
44.06872008571247,37.79512333613528,41.94752614393695,L
39.783969635259,38.03139586553278,41.72366470495578,M
43.01059869367607,39.60757830639951,42.43374968596096,L
41.084908075142906,37.97943944264949,42.21566877093362,L
38.06464073618463,38.28918367311873,41.64745375726338,M
41.08418681652524,36.82107650870167,41.559097811389144,L
44.61410969939791,37.78033054764904,40.88354914481595,L
39.892521882670145,38.609526045208604,42.98786158240651,M
44.69393096744202,36.44462626615876,42.45920418159953,L
32.140764687730766,38.20084509311571,42.91776819779514,M
42.46570751312567,38.1007910726448,41.68960386352449,L
40.26114120471451,38.04128745558744,41.34316453130557,L
39.1029779486024,39.03715889865824,40.92168493337077,M
40.275282329606505,38.33443851484852,42.35891758374066,M
34.03729325619732,39.47807189835645,40.96020677547177,M
39.340984336487466,37.00641048440596,43.84866306896655,M
41.07133771453524,38.135924567218346,40.69235741890656,L
44.43368213422455,38.084466786389946,42.2736601192125,L
38.44518934517906,36.93074550624492,43.566854707213786,M
37.574519191320434,38.956295002091345,42.59908975926381,M
38.49472886924639,40.32467330585282,42.17567371249178,M
42.746206353106224,37.98299392551617,41.03151635303811,L
40.98625332897905,38.505021088273764,40.6182308114323,L
38.41071938869889,38.08451847581533,42.77005010891759,M
41.53980229934007,37.28641533009282,43.50614724077494,L
40.29123264804412,36.179239722197984,41.56115000952183,L
42.90593497159867,37.29422651690464,40.860938492383646,L
37.89384071836794,36.608041619048265,39.54183056945098,M
39.01701356020669,39.704102078059115,41.019235156337466,M
38.823675540603524,37.88489030607676,41.88634315750096,M
35.60945515560364,37.65408067095283,43.59912324083673,M
40.88836083119373,38.889153824787805,42.673133692232966,L
40.783165816539665,36.87824889714411,42.30508540470675,L
40.01534036992738,37.233135961995444,41.59988033869887,L
39.296238599874556,38.068072269248624,41.41683428274404,M
35.75388777384876,39.02876899142348,43.405647597507965,M
38.73806403170392,38.50168504516879,42.20073854075839,M
38.97185645041969,38.24832514251588,39.89739930807898,M
37.59316819233514,38.07811773523601,41.32646035210276,M
39.516142865001974,38.40023585552677,41.141783968228374,M
41.212152570443614,38.20165290512926,41.45373599082254,L
45.65855770363159,36.97002772522306,42.562910660285084,L
40.52373343849552,38.04607922163315,41.89255511820575,L
40.772651172168295,36.92631134108225,41.92313459299634,L
39.7766622527015,38.08108254290082,43.313473161325234,M
34.24368635410288,37.51935205851176,41.30353891021331,M
39.92045837365235,40.53938162278286,43.86419952588735,M
40.18069062982308,37.960105616248285,41.32869240862891,L
47.389726337455855,36.59576043373841,42.08919819661257,L
39.42291710565663,37.865819789323076,41.718796404597235,M
40.90464202700084,38.51935874563789,42.12341913350096,L
39.89586469088427,39.67336394615252,42.44459199507313,M
36.49396588714141,37.41054760006128,42.433835240088875,M
43.428468443545064,36.41757202597636,41.24688266937942,L
42.25579909806032,38.816837011430984,40.87708532255243,L
42.37309584112914,36.61940129410035,44.50317179090571,L
37.27183763561578,37.56384455849251,41.51601566039945,M
44.2083829328083,37.74237951448901,42.699212438671985,L
35.79444681162316,37.930366546699894,40.3923586894768,M
41.760571281400814,38.689164457074334,41.72038728009532,L
